Färdigställande av Lisa Sass förskola,"Göteborgs Stad, Lokalförvaltningen",2019-09-20,"2019-10-01
Om 10 dagar"
Förhandsinsyn avseende inköp av experiment till Tom tits,Telge Inköp AB,2019-09-19,
Biologisk rening,Mölndals stad,2019-09-19,"2019-10-21
Om 30 dagar"
Trygghetslarm för särskilt boende i Östersunds kommun,Östersunds kommun,2019-09-19,"2019-10-22
Om 31 dagar"
Storköksutrustning Köket SÄS,Västra Götalandsregionen,2019-09-20,"2019-11-04
Om 44 dagar"
Respirator för neonatal vård,Region Östergötland,2019-09-19,
Kundanpassade set,Västra Götalandsregionen,2019-09-19,"2019-11-30
Om 70 dagar"
Micro-transfer printing system,Kungliga Tekniska högskolan,2019-09-19,"2019-10-21
Om 30 dagar"
Upphandling av ljudteknik,Askersunds kommun,2019-09-19,"2019-10-21
Om 30 dagar"
Rivning av brygga mm på Hönö,KRONOFOGDEMYNDIGHETEN,2019-09-19,"2019-10-08
Om 17 dagar"
Arbetskläder till Tingsryds kommun,Tingsryds kommun,2019-09-19,"2019-10-14
Om 23 dagar"
RFI Bussresor med chaufför,Jönköpings läns landsting,2019-09-19,"2019-10-06
Om 15 dagar"
K0188.131 Byggledare Sanitetshus Marma,Fortifikationsverket,2019-09-19,"2019-09-30
Om 9 dagar"
Byggledare för drift och underhåll av gator och vägar: inriktning underhållsbeläggningar,Göteborgs stad Trafikkontoret,2019-09-19,"2019-10-21
Om 30 dagar"
Anestesi och intensivvård förbrukningsmaterial,"Region Skåne, Koncerninköp",2019-09-19,"2019-10-24
Om 33 dagar"
Glasningsarbeten,Aktiebolaget Familjebostäder,2019-09-19,"2019-11-01
Om 41 dagar"
Analysutrustning för hematologi inom klinisk kemi,Region Östergötland,2019-09-19,"2019-10-21
Om 30 dagar"
Byggprojektchef till nybyggnad av högreservoar Lyra,Örebro kommun,2019-09-19,"2019-10-21
Om 30 dagar"
"UPPHANDLING BYGGSERVICE GOLVLÄGGNINGSARBETEN RAMAVTAL, GÄLLIVARE KOMMUN & TOP BOSTÄDER AB",Gällivare Kommun,2019-09-19,"2019-10-18
Om 27 dagar"
Ramavtal Elarbeten,Filipstads kommun,2019-09-19,"2019-10-22
Om 31 dagar"
Dentala förbrukningsartiklar,Folktandvården Gävleborg AB,2019-09-19,"2019-10-22
Om 31 dagar"
Direktupphandling av rekrytering av förvaltningschef till individ- och omsorgsförvaltningen,Skurups kommun,2019-09-19,"2019-10-03
Om 12 dagar"
Automated Guided Vehicle,"Region Skåne, Koncerninköp",2019-09-19,"2019-09-29
Om 8 dagar"
Tjänster för kvantitativa undersökningar,Innovation Skåne AB,2019-09-19,"2019-10-09
Om 18 dagar"
Kremering av smådjur till Distriktsveterinärerna,Statens Jordbruksverk,2019-09-19,"2019-10-29
Om 38 dagar"
RFI- MR kompatibel patientövervakningssystem,Södertälje Sjukhus Aktiebolag,2019-09-19,"2019-10-13
Om 22 dagar"
"Speciella sittmöbler, modulära sittsystem och sittvagnar - HMC",Jönköpings läns landsting,2019-09-19,"2019-10-22
Om 31 dagar"
Upphandling av ramavtal avseende kommunikationstjänster,Roslagsvatten AB,2019-09-19,"2019-10-28
Om 37 dagar"
"Modernisering av 12 st. hissar, Väderilsgatan 50-61 - Distrikt Hisingen",Bostads AB Poseidon,2019-09-19,"2019-10-22
Om 31 dagar"
"Trädgårdsmaterial, växter och anläggningsmaterial",HBV,2019-09-19,"2019-10-22
Om 31 dagar"
Byte av uppvärmning Sjölunda,Hylte kommun,2019-09-19,"2019-10-21
Om 30 dagar"
"Konsulttjänster, kulturbyggnader (Ramavtal)",Örebro kommun,2019-09-19,"2019-10-20
Om 29 dagar"
Egenvårdsbeteende hjärtsviktspatienter,Region Halland,2019-09-19,"2019-10-04
Om 13 dagar"
